2019-03-19 17:50:35,b'RT @TH2GETHER: GPs Care Coordinators and other professionals supporting adults with mental health needs are invited to a free development s\xe2\x80\xa6',positive
2019-03-19 17:48:03,b'GPs Care Coordinators and other professionals supporting adults with mental health needs are invited to a free deve\xe2\x80\xa6 https://t.co/sHLSNUdyRn',positive
2019-03-19 17:46:58,b'#CDEPdiabetes is free to NHS staff working at @NHSBartsHealth due to kind North East London STP funding!\nSIGN UP no\xe2\x80\xa6 https://t.co/NOeZoVbgJI',positive
2019-03-19 17:41:54,"b'@WinnieGeorge18 @NHSBartsHealth @capitalnurse @DebbieJurasz @AzizKNyaa @BH__Academy Excellent work guys, so sorry to have missed this x'",positive
2019-03-19 17:19:11,"b'Among the NHS hospitals involved with the @48FighterWing Medical Group-NHS partnership are @CUH_NHS, @NNUH,\xe2\x80\xa6 https://t.co/2CCJs5bplO'",neutral
2019-03-19 17:08:03,"b'RT @clairedavis45: IHI masterclass in measurement for improvement. Our brains are full to bursting with maths, statistics and charts, while\xe2\x80\xa6'",positive
2019-03-19 17:05:22,"b'RT @CarlosQI_: ""You got to have conviction and PURPOSE on what you are doing""\n@rlloyd66 on our Data Masterclass on Leading Measurement for\xe2\x80\xa6'",neutral
2019-03-19 16:47:54,b'Thanks to @NHSBartsHealth I played with pupillometers\n\nThey are awesome. New standard of care incoming. https://t.co/aS0snx9asK',positive
2019-03-19 16:22:02,b'@THCEPN @NHS_ELFT @EastLondonHCP @TH2GETHER @NHSBartsHealth @TowerHamletsNow @THCVS @THGPCareGroup Don\xe2\x80\x99t miss out o\xe2\x80\xa6 https://t.co/6BchTuWEzX',neutral
2019-03-19 16:21:29,b'RT @THCEPN: Join the #300 already trained! New #ASIST Suicide Prevention course dates released. #BookEarly #BuildingSuicideFreeCommunityTog\xe2\x80\xa6',positive
2019-03-19 16:19:26,b'@ehaat_  Clinical Governance Day: Great talk on Paediatric Emergencies by my colleague Shabana Issa from nhsbartshe\xe2\x80\xa6 https://t.co/XEdsjbmVyj',positive
2019-03-19 16:19:04,b'RT @NHSBartsHealth: JOIN THE BUSINESS INTELLIGENCE TEAM!\nWant to apply your analytical mind AND make a difference to people?\nAt Barts Healt\xe2\x80\xa6',neutral
2019-03-19 16:17:19,"b'IHI masterclass in measurement for improvement. Our brains are full to bursting with maths, statistics and charts,\xe2\x80\xa6 https://t.co/CxumWkOS3F'",positive
2019-03-19 15:08:39,b'Our 3rd @NHSBartsHealth fundamentals of care leadership and management band 6 development programme workshop. Focus\xe2\x80\xa6 https://t.co/sGsDSbMiKy',neutral
2019-03-19 14:51:21,b'JOIN THE BUSINESS INTELLIGENCE TEAM!\nWant to apply your analytical mind AND make a difference to people?\nAt Barts H\xe2\x80\xa6 https://t.co/LBJDuHu7zf',neutral
2019-03-19 14:21:42,b'RT @rodaluztrinidad: @RoyalLondonHosp @teamaccu safety huddle today- acknowledging the role of the family and a collaborative MDT in provid\xe2\x80\xa6',neutral
2019-03-19 13:45:54,b'@CarlosQI_ @DrAmarShah @rlloyd66 @TheIHI @NHSBartsHealth @louisechicks1 @louise_crosby @CAlexanderNHS\xe2\x80\xa6 https://t.co/yA4fnk9VZw',neutral
2019-03-19 13:27:10,"b'@OliShoff @NHSBartsHealth @SiemensHealth Acuity is gone, CT in the acuity room'",neutral
2019-03-19 13:25:27,b'RT @rodaluztrinidad: @RoyalLondonHosp @teamaccu safety huddle today- acknowledging the role of the family and a collaborative MDT in provid\xe2\x80\xa6',neutral
2019-03-19 13:19:48,b'@RoyalLondonHosp @teamaccu safety huddle today- acknowledging the role of the family and a collaborative MDT in pro\xe2\x80\xa6 https://t.co/aif0mYEH1U',neutral
2019-03-19 13:06:19,b'RT @SBH_Dietitians: Inspiring morning at the Cancer Conference hearing from Emma &amp; her experience of young adult cancer services! Really hi\xe2\x80\xa6',positive
2019-03-19 13:03:55,b'Nearly 9 years after my accident the @NHS is still caring for me at @NHSBartsHealth at #TheRoyalLondonHospital - a\xe2\x80\xa6 https://t.co/lpmQbztYTM',positive
2019-03-19 12:52:12,b'RT @SBH_Dietitians: Inspiring morning at the Cancer Conference hearing from Emma &amp; her experience of young adult cancer services! Really hi\xe2\x80\xa6',positive
2019-03-19 12:50:02,b'RT @SBH_Dietitians: Inspiring morning at the Cancer Conference hearing from Emma &amp; her experience of young adult cancer services! Really hi\xe2\x80\xa6',positive
2019-03-19 12:46:32,b'\xe2\x80\x98People living with cancer want to be heard\xe2\x80\x99 @BarryGQ131 so important to empowering patients @NHSBartsHealth',positive
2019-03-19 12:43:12,b'Thanks to LAS especially to you both Gentleman who helped me transfer smoothly a very anxious patient who is unwell\xe2\x80\xa6 https://t.co/lUSthRs9bB',negative
2019-03-19 12:26:31,b'RT @SBH_Dietitians: Inspiring morning at the Cancer Conference hearing from Emma &amp; her experience of young adult cancer services! Really hi\xe2\x80\xa6',positive
2019-03-19 12:24:39,b'RT @MattHancock: Great to visit @WhippsCrossHosp today with Iain Duncan Smith to hear the need for a new hospital for the people of North E\xe2\x80\xa6',positive
2019-03-19 12:23:41,b'Inspiring morning at the Cancer Conference hearing from Emma &amp; her experience of young adult cancer services! Reall\xe2\x80\xa6 https://t.co/G95R1jFsPG',positive
2019-03-19 12:23:27,"b'""You got to have conviction and PURPOSE on what you are doing""\n@rlloyd66 on our Data Masterclass on Leading Measure\xe2\x80\xa6 https://t.co/hgJ4hzHpFV'",neutral
2019-03-19 12:19:11,b'Stats can be fun learning about the power of dynamic data and control charts @NHSBartsHealth @TheIHI  in partnershi\xe2\x80\xa6 https://t.co/EhqelyGmTB',positive
2019-03-19 11:58:51,b'RT @docbriank: @dremmayoung @EDTeamNUH @netragfoamed @bigMsmallorgan @lisajniklaus @EMDrSandy @EMTAcommittee @NHSBartsHealth Great opportun\xe2\x80\xa6',positive
2019-03-19 11:44:29,"b'A good death is multi faceted and unique to the person , never one size fits all #eolcsbp @WeNurses @WeEOLC\xe2\x80\xa6 https://t.co/0s3ZutL1g3'",positive
2019-03-19 11:35:17,b'@A_WilliamsNHS @DrAmarShah @rlloyd66 @chrisjgordon1 @TheIHI @NHS_ELFT @NHSBartsHealth Great to see leaders partneri\xe2\x80\xa6 https://t.co/X5XNU72o2p',positive
2019-03-19 11:33:23,b'RT @A_WilliamsNHS: Many thanks @rlloyd66 @DrAmarShah  @chrisjgordon1 for leading our launch of #WeImprove @TheIHI @NHS_ELFT. An inspiring d\xe2\x80\xa6',positive
2019-03-19 11:04:29,b'RT @BartsAbility: @Natalie_MynottG @BartsHospital @NHSBartsHealth @ellen_sykes @alitoppers @NHSBartsHealth Taking another bite out of Menta\xe2\x80\xa6',neutral
2019-03-19 10:54:34,b'@gareth_grier @DrMikeChristian @DrMattWalton @The_PCP @LDNairamb @NHSBartsHealth @EHAAT_ Genuinely interested in ke\xe2\x80\xa6 https://t.co/Qb7HskGevD',positive
2019-03-19 10:52:15,b'@JanFlint @louisechicks1 @NHSBartsHealth @CSS_BH Looks like it will be an interesting day. Is there a hashtag to fo\xe2\x80\xa6 https://t.co/USaXdzGFRj',positive
2019-03-19 10:31:10,b'Great to hear @NHSBartsHealth Stem Cell Transplant team have managed to get a clinical psychologist for just their\xe2\x80\xa6 https://t.co/vXlKy9HMJb',positive
